"","Provider.State","Count_shortages","Percentage_shortages"
"1","MN",4302,37.33402759698
"2","GA",3758,33.4728778836733
"3","WA",1985,30.7847394540943
"4","ME",898,30.3583502366464
"5","KS",3099,30.3080684596577
"6","SD",989,29.7622630153476
"7","AL",2092,29.1974877878576
"8","ND",745,29.1129347401329
"9","LA",2495,28.8739729198009
"10","MI",3815,28.1197022186187
"11","IA",3757,27.5763358778626
"12","RI",685,27.0750988142292
"13","NH",631,26.8510638297872
"14","OH",7848,26.0661618174572
"15","AK",163,25.7097791798107
"16","WY",291,25.4816112084063
"17","NE",1558,25.1290322580645
"18","MS",1570,24.6777742848161
"19","OK",2289,24.5653573728268
"20","MO",3975,24.3670692086066
"21","WI",2726,24.2721039978631
"22","NC",3262,24.1290036245284
"23","MT",511,23.3974358974359
"24","HI",320,23.22206095791
"25","IL",4992,22.3006477551932
"26","TN",2205,22.0037920367229
"27","ID",551,21.4396887159533
"28","NV",394,19.126213592233
"29","SC",1134,18.9600401270691
"30","NM",409,18.4317260027039
"31","CO",1249,17.8250321107464
"32","DC",105,17.5879396984925
"33","AZ",787,17.2172391161671
"34","IN",2779,16.7449987948903
"35","OR",664,16.679226325044
"36","KY",1416,15.7438292194797
"37","AR",1106,15.6192628159864
"38","NY",2930,15.0572999640269
"39","TX",5699,15.0468646864686
"40","PA",3147,14.4876162415984
"41","VT",141,12.6005361930295
"42","VA",1115,12.3422625636484
"43","DE",180,12.2950819672131
"44","FL",2451,11.1388838393019
"45","MD",757,10.6604703562878
"46","WV",393,10.0331886647945
"47","UT",288,9.4705688918119
"48","MA",992,8.30612074018253
"49","NJ",750,6.63599362944612
"50","CT",421,6.23703703703704
"51","CA",746,1.99066044029353
"52","PR",2,1.05820105820106
"53","GU",0,0
